X,Y,KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode
77.601487275772,13.1100616504644,4878,2003001,1303139,1,Kempegowda Ward,2003
77.5750239423564,13.1225288019821,4879,2003002,1303140,2,Chowdeswari Ward,2003
77.5772799131664,13.1015351191337,4882,2003003,1303141,3,Someshwara Ward,2003
77.5550320760114,13.0978074994869,4883,2003004,1303142,4,Atturu Layout,2003
77.5886086471204,13.0905808653332,4886,2003005,1303143,5,Yelahanka Satellite Town,2003
77.5178037836243,13.0619219017344,4910,2003017,1303155,17,Shettihalli,2003
77.5151167666869,13.0538467575697,4915,2003020,1303158,20,Mallasandra,2003
77.5613279694239,13.0313528722007,4994,2003059,1302731,59,Mattikere,2003
77.5728554488351,13.01648407771,4995,2003060,1302732,60,Aramane Nagara,2003
77.557801759443,13.0174879833949,4998,2003061,1302733,61,Malleswaram,2003
77.5558072557108,13.0258044166218,4950,2003037,1302709,37,Chanakya,2003
77.5278700754999,13.0277941936981,4958,2003041,1302713,41,Peenya,2003
77.5048819474762,13.0217587978603,4922,2003023,1302695,23,Nelagadderanahalli,2003
77.5351129005809,13.0156940884533,4982,2003053,1302725,53,Nandini Layout,2003
77.546458367756,13.0189391457581,4975,2003050,1302722,50,Marappana Palya,2003
77.5572666106383,13.0079733257844,4999,2003062,1302734,62,Subramanya Nagar,2003
77.5661970874187,13.0024322769519,5003,2003064,1302736,64,Kadu Malleshwara,2003
77.5783464811389,13.0017867638994,5006,2003065,1302737,65,Rajamahal Guttahalli,2003
77.6333611949927,12.9907168672902,5114,2003119,1302791,119,New Bayappanahalli,2003
77.5748776827533,12.9976347524038,5139,2003132,1302804,132,Dattatreya Temple,2003
77.570068002866,12.982864034239,5143,2003134,1302806,134,Subhash Nagar,2003
77.5623246670986,12.9976448720279,5002,2003063,1302735,63,Gayithri Nagar,2003
77.5106867392087,13.0033241203929,4927,2003026,1302698,26,Hegganahalli,2003
77.5031124424139,12.9974978373351,4930,2003027,1302699,27,Sunkadakatte,2003
77.5150385284457,12.9841493124559,4966,2003045,1302717,45,Vijayanagara Krishnadevaraya,2003
77.5327714599339,12.9976118619468,4987,2003056,1302728,56,Shankar Matt,2003
77.53118343449,12.9939740093925,4990,2003057,1302729,57,Shakthi Ganapathi Nagar,2003
77.5255197727649,12.988514192694,4991,2003058,1302730,58,Vrisabhavathi Nagar,2003
77.5334083901553,12.9866419523332,5166,2003145,1302817,145,Kamakshipalya,2003
77.5423007742784,12.9922100339629,5163,2003144,1302816,144,Basaveshwara Nagar,2003
77.5499777898027,12.9889250472875,5162,2003143,1302815,143,Shivanagara,2003
77.5507015185171,12.9940354101175,5158,2003141,1302813,141,Rajaji Nagar,2003
77.5546510227395,12.9839157234666,5159,2003142,1302814,142,Sriramamandir,2003
77.5598242525862,12.9905615740629,5155,2003140,1302812,140,Prakash Nagar,2003
77.5645077092847,12.9911060205069,5154,2003139,1302811,139,Dayananda Nagar,2003
77.5643262402058,12.9820656936327,5146,2003135,1302807,135,Okalipuram,2003
77.574430305686,12.9829076260087,5142,2003133,1302805,133,Gandhinagar,2003
77.61103315252,12.989180358595,5135,2003130,1302802,130,Bharathi Nagar,2003
77.6184907090937,12.9804951445686,5138,2003131,1302803,131,Ulsoor,2003
77.6360775694488,12.979853158326,5115,2003120,1302792,120,Hoysala Nagar,2003
77.6585812607738,12.9576894906583,5126,2003125,1302797,125,Konena Agrahara,2003
77.576550391927,12.9705001705225,5151,2003138,1302810,138,Chickpete,2003
77.5638401613814,12.9710826174653,5150,2003137,1302809,137,Cottonpete,2003
77.5596737620247,12.9723198504707,5147,2003136,1302808,136,Binnipete,2003
77.4856953408724,12.923393519928,4942,2003033,1302705,33,Kengeri,2003
77.5690175976696,12.9368281570919,6926,2003210,,210,Basavanagudi,2003
77.5575391635867,12.9429349318032,6927,2003212,,212,Srinivasa Nagar,2003
77.5534141046422,12.9436421332482,6928,2003213,,213,Srinagar,2003
77.5449741687453,12.939441564113,6929,2003214,,214,Girinagar,2003
77.4928560822909,12.9128504899465,4943,2003034,1302706,34,Bande Mutt,2003
77.658581160632,12.8875897783276,6930,2003243,,243,Kudlu,2003
77.7188518677318,12.9934650777702,5087,2003106,1302778,106,Hudi,2003
77.6769918378344,12.9379020003137,5106,2003115,1302787,115,Bellanduru,2003
77.6996812338987,12.9405041648654,5103,2003114,1302786,114,Marathahalli,2003
77.7033314275033,12.9900926973137,5090,2003107,1302779,107,Garudachar Playa,2003
77.6624179132609,12.9763392519054,5119,2003122,1302794,122,New Thippasandra,2003
77.6753244018071,12.9795450296278,5122,2003123,1302795,123,Jalakanteshwara Nagara,2003
77.5483985355916,13.0057331610575,4978,2003051,1302723,51,Nagapura,2003
77.5325274749934,13.0078575838251,4983,2003054,1302726,54,Jai Maruthinagara,2003
77.534861496324,13.0020933990895,4986,2003055,1302727,55,Puneet Rajkumar,2003
77.5896421196151,12.9749155006805,5134,2003129,1302801,129,Sampangiram Nagar,2003
77.6472789753265,12.9750082673004,5118,2003121,1302793,121,Old Thippasandra,2003
77.6486677449792,12.9570363784806,5123,2003124,1302796,124,Jeevanbhima Nagar,2003
77.5313540954621,13.0403397101991,4955,2003040,1302712,40,Veeramadakari,2003
77.6763891645265,12.95835370223,5062,2003093,1302765,93,HAL Airport,2003
77.5265918557641,13.0153309476224,4959,2003042,1302714,42,Lakshmi Devi Nagar,2003
77.484893156645,12.9664852838242,4938,2003031,1302703,31,Doddagollarahatti,2003
77.4888317811944,12.9426433268791,4939,2003032,1302704,32,Ullal,2003
77.5135875118038,13.0451737359033,4918,2003021,1303159,21,T Dasarahalli,2003
77.5023928993395,13.0363128192,4919,2003022,1303160,22,Chokkasandra,2003
77.5184998172787,13.0245245577017,4923,2003024,1302696,24,Rajagopal Nagar,2003
77.5129994718061,13.0108523115763,4926,2003025,1302697,25,Rajeshwari Nagar,2003
77.5252718562707,13.0061949524707,4962,2003043,1302715,43,Ranadheera Kanteerava,2003
77.5237213054544,12.9991105349825,4963,2003044,1302716,44,Veera Sindhura Lakshamana,2003
77.5018572017298,12.9783277658685,4967,2003046,1302718,46,Sir M. Vishweshwaraiah,2003
77.4939156080957,12.9572236683152,4970,2003047,1302719,47,Nalvadi Krishnaraja Wadior Park,2003
77.5382725874289,13.0241792108815,4947,2003036,1302708,36,Chatrapati Shivaji,2003
77.5057847023047,12.9478136025395,4971,2003048,1302720,48,Jnana Bharathi,2003
77.521460231709,12.9111253362214,4974,2003049,1302721,49,Rajarajeshwari Nagar,2003
77.6621155029897,12.9956799102371,5110,2003117,1302789,117,C V Raman Nagar,2003
77.6501348060438,13.000247246763,5111,2003118,1302790,118,Lal Bahadur Nagar,2003
77.5620514574219,12.9435649204677,6931,2003211,,211,Hanumanth Nagar,2003
77.539152101398,13.007581525023,4979,2003052,1302724,52,Mahalakshimpuram,2003
77.5570480942162,12.9298344154031,6932,2003216,,216,Vidyapeeta ward,2003
77.5487227555405,12.930640536802,6933,2003215,,215,Katriguppe,2003
77.5631368301806,12.8613862584321,6934,2003224,,224,Anjanapura,2003
77.6071578323652,12.9693825138758,5238,2003181,1302853,181,Shantala Nagar,2003
77.5793596210309,12.9351440440894,6935,2003200,,200,Yediyur,2003
77.556682542625,12.9648041155592,5210,2003167,1302839,167,Jagajivanaram Nagar,2003
77.5347239313028,12.8990729639645,6936,2003218,,218,Subramanyapura,2003
77.6559698003497,12.91120770068,6937,2003229,,229,Ibluru,2003
77.6656037550683,12.8718692003362,6938,2003228,,228,Naganathapura,2003
77.5949138719915,13.0239263772808,5018,2003071,1302743,71,Chamundi Nagara,2003
77.601620867594,12.8758431395486,6939,2003239,,239,Hulimavu,2003
77.5484151470459,12.9608675319104,5214,2003169,1302841,169,Devaraj Urs Nagar,2003
77.5830889825218,12.8987721909665,6940,2003241,,241,Puttenahalli - Sarakki Lake,2003
77.6302179334754,12.9730585844661,5234,2003179,1302851,179,Jogupalya,2003
77.6348942417382,12.9624358406894,5231,2003178,1302850,178,Domlur,2003
77.5781379125847,12.8897399649902,6941,2003222,,222,RBI layout,2003
77.5308171179881,12.9578821590638,5198,2003161,1302833,161,Attiguppe,2003
77.5436512246632,12.9592546575332,5195,2003160,1302832,160,Bapuji Nagar,2003
77.5528078279292,13.0445814653379,4954,2003039,1302711,39,Kanneshwara Rama,2003
77.5527702362885,12.9624459023204,5211,2003168,1302840,168,Padarayanapura,2003
77.56840692197,12.9031825696234,6942,2003220,,220,Yelachenahalli,2003
77.5493379809102,13.0361416926404,4951,2003038,1302710,38,J P Park,2003
77.5670496620645,12.9642925581118,5207,2003166,1302838,166,Chalavadipalya,2003
77.6223603776408,12.8925288531586,6943,2003236,,236,Devarachikkanahalli,2003
77.5503467104793,12.9718909807961,5190,2003157,1302829,157,Vijayanagar,2003
77.6396919875546,12.9006194417757,6944,2003231,,231,Mangammanapalya,2003
77.5615472743102,12.8825967937434,6945,2003221,,221,Konanakunte,2003
77.6075796065121,12.8857868577355,6946,2003238,,238,Arakere,2003
77.5755154904336,12.9002803769156,6947,2003242,,242,Jaraganahalli,2003
77.5833519585566,12.8770012622601,6948,2003223,,223,Chunchaghatta,2003
77.6434817850669,12.9124431786247,6949,2003230,,230,Agara,2003
77.5595691469251,12.9026368675956,6950,2003205,,205,Vikram Nagar,2003
77.5862370277575,12.855041722504,6951,2003225,,225,Gottigere,2003
77.5749909324763,12.9237571954659,6952,2003201,,201,Umamaheshwara Ward,2003
77.5653723932681,12.9120908847121,6953,2003204,,204,Kumaraswamy Layout,2003
77.5555535076611,12.9723578599106,5187,2003156,1302828,156,Kempapura Agrahara,2003
77.6180114352115,12.9343205639275,5250,2003187,1302859,187,Adugodi,2003
77.6267818983458,13.0195086730517,5071,2003098,1302770,98,Kacharkanahalli,2003
77.6283530214823,12.9428352831402,5246,2003185,1302857,185,Ejipura,2003
77.63755689778,13.0198842506966,5074,2003099,1302771,99,HRBR Layout,2003
77.6041318871846,13.0233933406357,5023,2003074,1302746,74,Kaval Bairasandra,2003
77.595779429218,12.9379293065268,5227,2003176,1302848,176,Someshwara Nagar,2003
77.582854486365,12.9419498440125,5226,2003175,1302847,175,Ashoka Pillar,2003
77.6135600586215,12.9435703585488,5251,2003188,1302860,188,Lakkasandra,2003
77.5981255747224,12.9494939863455,5230,2003177,1302849,177,Hombegowda Nagara,2003
77.581893164243,12.9504475855169,5223,2003174,1302846,174,Vishveshwara Puram,2003
77.6523937974638,13.0145332877816,5075,2003100,1302772,100,Banasavadi,2003
77.6333314774113,13.03663586735,5063,2003094,1302766,94,Hennur,2003
77.6122918245911,12.9968403842213,5035,2003080,1302752,80,Pulikeshinagar,2003
77.575219576124,13.0561847291267,4899,2003012,1303150,12,Kodigehalli,2003
77.616477097734,13.0662324428382,4891,2003008,1303146,8,Jakkuru,2003
77.6336446733591,13.0613186246864,4890,2003007,1303145,7,Thanisandra,2003
77.5934073450329,13.0514219458806,4895,2003010,1303148,10,Kempapura,2003
77.6034680998223,13.0606926902314,4894,2003009,1303147,9,Amrutahalli,2003
77.6326381710509,12.9994969698637,5082,2003103,1302775,103,Maruthi Seva Nagar,2003
77.5814921112906,12.917329387665,5270,2003197,1302869,197,Shakambari Nagar,2003
77.6163598229403,13.0052772760267,5034,2003079,1302751,79,Sagayarapuram,2003
77.6378393374214,13.00918259603,5078,2003101,1302773,101,Kammanahalli,2003
77.6105715099323,13.0242505172877,5026,2003075,1302747,75,Kushal Nagar,2003
77.6239540652806,13.0057147272342,5079,2003102,1302774,102,Lingarajapura,2003
77.6196699558851,13.0147277707218,5070,2003097,1302769,97,Venkateshpura,2003
77.606400602353,13.0142131374067,5030,2003077,1302749,77,Devara Jeevanahalli,2003
77.6136462872545,13.0148279169219,5027,2003076,1302748,76,Muneshwara Nagar,2003
77.6080742703597,13.0075862997061,5031,2003078,1302750,78,S K Garden,2003
77.5947849266889,12.9279294371969,5266,2003195,1302867,195,Tilak Nagar,2003
77.6043087716332,12.9210717217764,5263,2003194,1302866,194,Gurappanapalya,2003
77.5850328770154,12.9286250330375,5267,2003196,1302868,196,Byrasandra,2003
77.629496044781,12.9207457846712,5258,2003191,1302863,191,Jakkasandra,2003
77.6052802645899,12.9311846594732,5254,2003189,1302861,189,Suddagunte Palya,2003
77.5678807138131,12.9482229926423,5222,2003173,1302845,173,Sunkenahalli,2003
77.6257807007902,12.9355767615611,5247,2003186,1302858,186,Koramangala,2003
77.6396965817547,13.1040228614678,4887,2003006,1303144,6,Kogilu,2003
77.5532028730342,12.9545525220787,5215,2003170,1302842,170,Azad Nagar,2003
77.5717981406293,12.9607505995271,5206,2003165,1302837,165,Chamrajapet,2003
77.6194048673618,13.0249199992554,5067,2003096,1302768,96,Kadugondanahalli,2003
77.733567773231,12.9651576828981,5095,2003110,1302782,110,Whitefield,2003
77.4912112827333,12.9884850211569,4935,2003030,1302702,30,Herohalli,2003
77.4875945857332,13.0276535679564,4931,2003028,1302700,28,Dodda Bidarakallu,2003
77.5531578533213,12.8922784699537,6954,2003219,,219,Vasanthpura,2003
77.6410290288806,12.8933248183397,6955,2003232,,232,HSR - Singasandra,2003
77.6790657076,12.9112666691718,5107,2003116,1302788,116,Doddakanahalli,2003
77.5398756984961,12.9622440837832,5194,2003159,1302831,159,Hampi Nagar,2003
77.5444376938551,12.9692044077707,5191,2003158,1302830,158,Hosahalli,2003
77.5468828375528,12.9499519657855,5203,2003164,1302836,164,Avalahalli,2003
77.5373089312855,12.9514817344854,5199,2003162,1302834,162,Gali Anjenaya Temple ward,2003
77.5350880212415,12.9415408173258,5202,2003163,1302835,163,Veerabhadranagar,2003
77.5823886734501,12.9648242081867,5219,2003172,1302844,172,Dharmaraya Swamy Temple Ward,2003
77.5834275210357,12.9571319445013,5218,2003171,1302843,171,Sudham Nagara,2003
77.6386631114079,12.9448227909355,5235,2003180,1302852,180,Agaram,2003
77.7100641631234,12.964639919527,5094,2003109,1302781,109,AECS Layout,2003
77.6969622023873,12.9716977063726,5091,2003108,1302780,108,Dodda Nekkundi,2003
77.7684298631305,12.9937471722934,5083,2003104,1302776,104,Kadugodi,2003
77.7474928591595,12.994165618046,5086,2003105,1302777,105,Belathur,2003
77.6205422543702,12.9014189287912,6956,2003235,,235,Bommanahalli,2003
77.6268926586887,12.8986228437361,6957,2003234,,234,Hongasandra,2003
77.635748350297,12.8934227745135,6958,2003233,,233,Rupenaagrahara,2003
77.6128655111445,12.9018396276479,6959,2003237,,237,Bilekhalli,2003
77.5946622813624,12.8987517386982,6960,2003240,,240,Vinayakanagar,2003
77.5389422009312,12.9297143898853,6961,2003209,,209,Hosakerehalli,2003
77.5494006568691,12.9207498293048,6962,2003207,,207,Kamakya Nagar,2003
77.544036336384,12.9241277733174,6963,2003208,,208,Deen Dayalu Ward,2003
77.6175185179025,13.0318747823296,5066,2003095,1302767,95,Nagavara,2003
77.5248784081101,13.0739620055969,4907,2003016,1303154,16,Kammagondanahalli,2003
77.6009309295812,13.0018347256996,5127,2003126,1302798,126,Ramaswamy Palya,2003
77.597215049643,12.9975158557719,5130,2003127,1302799,127,Jayamahal,2003
77.5899078475137,12.9876863763645,5131,2003128,1302800,128,Vasanth Nagar,2003
77.6127310686848,12.9272507159873,5255,2003190,1302862,190,Madivala,2003
77.6131869227732,12.9146470550638,5259,2003192,1302864,192,BTM Layout,2003
77.6050012144372,12.9108157925924,5262,2003193,1302865,193,N S Palya,2003
77.5688336180497,13.0369778726778,5007,2003066,1302738,66,Radhakrishna Temple Ward,2003
77.5803033830323,13.0355385678421,5010,2003067,1302739,67,Sanjaya Nagar,2003
77.6063043172848,13.0360340363614,5011,2003068,1302740,68,Vishwanath Nagenahalli,2003
77.5937755154549,13.0333695644155,5015,2003070,1302742,70,Hebbala,2003
77.5886906798377,13.0230915988761,5019,2003072,1302744,72,Ganga Nagar,2003
77.5877161454924,13.0155838497633,5022,2003073,1302745,73,Jayachamarajendra  Nagar,2003
77.6024767500713,13.0330393219235,5014,2003069,1302741,69,Manorayanapalya,2003
77.5416680765273,13.0720699516252,4906,2003015,1303153,15,Kuvempunagar,2003
77.5591114812399,13.0550690374993,4902,2003013,1303151,13,Dodda Bommasandra,2003
77.573399599003,13.0782213664976,4898,2003011,1303149,11,Byatarayanapura,2003
77.5585293067744,13.0746992889445,4903,2003014,1303152,14,Vidyaranyapura,2003
77.496480849901,13.055559275108,4911,2003018,1303156,18,Bagalakunte,2003
77.7643786340075,12.9706928678917,5098,2003111,1302783,111,Hagadur,2003
77.742510755391,12.9344444266296,5099,2003112,1302784,112,Varthuru,2003
77.7100158755678,12.9326456660896,5102,2003113,1302785,113,Munnekollala,2003
77.584026948032,12.9090870079968,6964,2003199,,199,Sarakki,2003
77.588973415154,12.9108164623836,5271,2003198,1302870,198,J P Nagar,2003
77.660392735827,13.0549566097522,5038,2003081,1302753,81,Horamavu,2003
77.6534480908356,13.023165431897,5039,2003082,1302754,82,Babusab Palya,2003
77.6718757445746,13.0346971997509,5042,2003083,1302755,83,Kalkere,2003
77.703814318679,13.0240759652247,5050,2003087,1302759,87,Medahalli,2003
77.6763102227546,13.0116636642269,5043,2003084,1302756,84,Ramamurthy Nagara,2003
77.670602454801,13.0047197613579,5046,2003085,1302757,85,Vijinapura,2003
77.6924905860355,13.0115184060812,5047,2003086,1302758,86,K R Puram,2003
77.7188792311161,13.0139983932663,5051,2003088,1302760,88,Basavanapura,2003
77.6907625744872,12.999766717545,5054,2003089,1302761,89,Devasandra,2003
77.6700233409891,12.9930477738596,5058,2003091,1302763,91,A Narayanapura,2003
77.6853061472903,12.987139878022,5055,2003090,1302762,90,Mahadevapura,2003
77.674071913312,12.9691089884947,5059,2003092,1302764,92,Vijnana Nagar,2003
77.6335846596373,12.8719576152089,6965,2003227,,227,Begur,2003
77.6131624913407,12.8599522614579,6966,2003226,,226,Kalena Agrahara,2003
77.5526488107249,12.9098118164677,6967,2003217,,217,Uttarahalli,2003
77.556636682581,12.915452449048,6968,2003206,,206,Padmanabha Nagar,2003
77.5625593941565,12.9234121132763,6969,2003202,,202,Ganesh Mandir ward,2003
77.5706918446078,12.9125055246211,6970,2003203,,203,Banashankari Temple ward,2003
77.5488779633267,12.9793408318139,5167,2003146,1302818,146,Dr. Raj Kumar Ward,2003
77.5400215853834,12.9816671133441,5170,2003147,1302819,147,Agrahara Dasarahalli,2003
77.5254284444834,12.9816152830104,5174,2003149,1302821,149,Kaveripura,2003
77.5316961949959,12.9774933810928,5171,2003148,1302820,148,Govindaraja Nagar,2003
77.5330576033127,12.9720208017003,5175,2003150,1302822,150,Marenahalli,2003
77.5297256414569,12.9668049580825,5178,2003151,1302823,151,Maruthi Mandir ward,2003
77.5233668404791,12.9727024159453,5179,2003152,1302824,152,Mudalapalya,2003
77.5174558515512,12.9597620433114,5182,2003153,1302825,153,Nagarabhavi,2003
77.5170304010573,12.9496183578508,5183,2003154,1302826,154,Chandra Layout,2003
77.5244779341024,12.9443587383859,5186,2003155,1302827,155,Nayandahalli,2003
77.5074619980879,13.0524371595832,4914,2003019,1303157,19,Defence Colony,2003
77.5066691084762,12.8813881293736,4946,2003035,1302707,35,Hemmigepura,2003
77.5968925244188,12.9562417642206,5239,2003182,1302854,182,Shanthi Nagar,2003
77.606472084534,12.95769383754,5242,2003183,1302855,183,Neelasandra,2003
77.6165882907521,12.9573161302697,5243,2003184,1302856,184,Vannarapete,2003
77.4831698927177,13.0002029558448,4934,2003029,1302701,29,Vidyamanyanagar,2003
